140001000,??__EgameServiceClass@ContentManagerWin32@content@app@@0VGameServiceClass@game@hh@@B,0
140006aa0,??__EgameServiceClass@CameraService@camera@app@@0VGameServiceClass@game@hh@@B,0
140006ae0,??__EstateDesc@Battle@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006b20,??__EstateDesc@Dash@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006b60,??__EstateDesc@Lockon@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006ba0,??__EstateDesc@Loop@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006be0,??__EstateDesc@Normal@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006c20,??__EstateDesc@Surf@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006c60,??__EstateDesc@Top@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006cc0,??__EstateDesc@Wall@StandardCameraState@camera@app@@0VStateDesc@ut@hh@@B,0
140006d10,??__ErflClass@AccelerationParametor@rfl@heur@@2VRflClass@fnd@hh@@B,1
140006d70,??__ErflClass@ActionNotification@rfl@heur@@2VRflClass@fnd@hh@@B,1
140006de0,??__ErflClassMembers@ActionNotification@rfl@heur@@0QBVRflClassMember@fnd@hh@@B,1
140006df0,??__ErflClass@ActionParam@rfl@heur@@2VRflClass@fnd@hh@@B,1
140006e60,??__ErflClassMembers@ActionParam@rfl@heur@@0QBVRflClassMember@fnd@hh@@B,1
140006e70,??__ErflClass@ActionParametor@rfl@heur@@2VRflClass@fnd@hh@@B,1
140006ee0,??__ErflClassMembers@ActionParametor@rfl@heur@@0QBVRflClassMember@fnd@hh@@B,1
140006ef0,??__ErflClass@ActionParams@rfl@heur@@2VRflClass@fnd@hh@@B,1
140006f60,??__ErflClassMembers@ActionParams@rfl@heur@@0QBVRflClassMember@fnd@hh@@B,1
140006f70,??__ErflClass@AddContentDataGame@save@app@@2VRflClass@fnd@hh@@B,1
140006fd0,??__ErflClass@AddContentDataSystem@save@app@@2VRflClass@fnd@hh@@B,1
140007030,??__ErflClass@AddDatabaseInfo@rfl@heur@@2VRflClass@fnd@hh@@B,1
140007090,??__ErflClass@AisacChangeInfo@snd@app@@2VRflClass@fnd@hh@@B,1
1400070f0,??__ErflClass@AisacChangeInfoList@snd@app@@2VRflClass@fnd@hh@@B,1
140007150,??__ErflClass@AmbBaseNoiseParameter@snd@app@@2VRflClass@fnd@hh@@B,1
1400071b0,??__ErflClass@AmbInfo@snd@app@@2VRflClass@fnd@hh@@B,1
140007210,??__ErflClass@AmbNearPointParameter@snd@app@@2VRflClass@fnd@hh@@B,1
140007270,??__ErflClass@AmbRelativeWindParameter@snd@app@@2VRflClass@fnd@hh@@B,1
1400072d0,??__ErflClass@AmbRiverParameter_Multiple3D@snd@app@@2VRflClass@fnd@hh@@B,1
140007330,??__ErflClass@AmbRiverParameter_Nearest@snd@app@@2VRflClass@fnd@hh@@B,1
140007390,??__ErflClass@AmbSoundParameter@snd@app@@2VRflClass@fnd@hh@@B,1
1400073f0,??__ErflClass@AppearGateParams@rfl@heur@@2VRflClass@fnd@hh@@B,1
140007450,??__ErflClass@Associative@rfl@heur@@2VRflClass@fnd@hh@@B,1
1400074b0,??__ErflClass@AuraEffectLerpNode@rfl@heur@@2VRflClass@fnd@hh@@B,1
140007510,??__ErflClass@AuraEffectLerpParameter@rfl@heur@@2VRflClass@fnd@hh@@B,1
140007570,??__ErflClass@AuraEffectParameters@rfl@heur@@2VRflClass@fnd@hh@@B,1
